id,title,clean_title,category,year,author,advisor,url,abstract_snippet
1,Alarm Limitasi Pengunjung untuk Ruang Umum Tertutup Berbasis Crowd Counting,alarm limitasi pengunjung untuk ruang umum tertutup berbasis crowd counting,Teknik Informatika,2021,Angelica Kirana Sandra Dewi,"Martin C.T. Manullang, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB2106150040,"Dengan mulai kembali pulihnya perekenomian di masa pandemik Covid-19 ini, aktifitas ekonomi kini kembali berjalan lagi. Sektor bisnis dan perdagangan pun mulai dibuka kembali. Dengan dibukanya sektor tersebut, dikhawatirkan akan adanya kerumunan yang dapat menyebabkan percepatan pada penyebaran v..."
2,ALAT DETEKSI DAN PENGUSIRAN HAMA TIKUS DAN BURUNG PADA TANAMAN PADI BERBASIS INTERNET OF THINGS (IOT),alat deteksi dan pengusiran hama tikus dan burung pada tanaman padi berbasis internet of things iot,Teknik Informatika,2021,Indri Wulan Dari,"Meida Cahyo Untoro, S.Kom.,M.Kom.",https://repo.itera.ac.id/depan/submission/SB2202160001,"Alat Deteksi dan Pengusiran Hama Tikus dan Burung pada Tanaman Padi Berbasis Internet of Things (IoT) Indri Wulan Dari (14116087) Pembimbing 1 : Meida Cahyo Untoro, S.Kom., M.Kom. Pembimbing 2 : Angga Wijaya, S.Si.,M.Si. ABSTRAK Indonesia sering disebut negara agraris, karena memiliki lah..."
3,Alat Monitoring Tanah dan Pengusir Hama Otomatis Berbasis IoT dengan Penjadwalan Menggunakan Metode Naïve Bayes,alat monitoring tanah dan pengusir hama otomatis berbasis iot dengan penjadwalan menggunakan metode na ve bayes,Teknik Informatika,2021,Leo Viranda Millennium,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2108250029,"Padi dalam pertumbuhannya memerlukan kondisi lahan tertentu agar dapat tumbuh dengan baik dan memiliki kerentanan terhadap serangan organisme pengganggu tanaman seperti hama serangga (wereng coklat, belalang, dan wereng putih), dan hama burung. Penelitian memiliki tujuan untuk mengembangkan al..."
4,Analisa Penggunaan Rangkaian Skincare dengan Algoritma Apriori (Studi Kasus : Mahasiswa dan Mahasiswi Institut Teknologi Sumatera),analisa penggunaan rangkaian skincare dengan algoritma apriori studi kasus mahasiswa dan mahasiswi institut teknologi sumatera,Teknik Informatika,2021,Fristy Riani Puspitasari,"Angga Wijaya, S.Si., M.Si.",https://repo.itera.ac.id/depan/submission/SB2106100017,"Setiap orang pasti ingin memiliki kulit wajah yang sehat dan juga indah. Tetapi bagi beberapa orang, kulit yang sehat dan indah tidaklah cukup memuaskan dan tetap harus diimbangi dengan perawatan wajah agar dapat memiliki wajah yang cantik. Perawatan kulit wajah adalah salah satu usaha yang dilakuka..."
5,ANALISA PERBANDINGAN METODE KOMPRESI PESAN DENGAN METODE LZW DAN DEFLATE PADA PROSES PENYISIPAN CITRA DIGITAL MENGGUNAKAN METODE STEGANOGRAFI BPCS,analisa perbandingan metode kompresi pesan dengan metode lzw dan deflate pada proses penyisipan citra digital menggunakan metode steganografi bpcs,Teknik Informatika,2023,Citra Amelia,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2306120036,Pengiriman data yang kurang aman memungkinkan orang lain untuk mencuri informasi demi mencari keuntungan pribadi. Penggunaan metode steganografi Bit Plane Complexity Segmentation (BPCS) digunakan untuk penyembunyian pesan atau data rahasia dikarenakan BPCS dapat menyisipkan pesan tanpa merusak kuali...
6,Analisis dan Perancangan UI/ UX dengan Pendekatan User Centered Design Pada Website Fintech Cicilan Online (Studi Kasus: Angsur),analisis dan perancangan ui ux dengan pendekatan user centered design pada website fintech cicilan online studi kasus angsur,Teknik Informatika,2020,Fardiansyah S Harahap,"Ir. Hira Laksmiwati Soemitro, M.Sc",https://repo.itera.ac.id/depan/submission/SB2009120001,"Perkembangan teknologi dan informasi sangat berkembang dan banyak membantu di berbagai bidang, termasuk bidang finansial dan keuangan atau yang lebih dikenal fintech ( financial technology). Salah satu bidang fintech yang berkembang adalah layanan cicilan/ angsuran online. Angsur merupakan salah sat..."
7,Analisis Dan Perancangan User Interface (UI) / User Experience (UX) Dengan Metode Lean UX Dan USE Questionnaire Pada Aplikasi Layanan Penyewaan Lapangan (Studi Kasus: Sewasi),analisis dan perancangan user interface ui user experience ux dengan metode lean ux dan use questionnaire pada aplikasi layanan penyewaan lapangan studi kasus sewasi,Teknik Informatika,2021,Isnedi Candra Kusuma,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106030031,"Perkembangan teknologi informasi yang pesat memaksa penggunanya yaitu manusia untuk selalu dapat beradaptasi dengannya, selain itu dengan perkembangan teknologi informasi yang pesat memungkinkan berbagai kegiatan manusia dapat dilakukan dengan cara yang lebih efektif. Salah satu kegiatan manusia yan..."
8,ANALISIS DAN PERANCANGAN USER INTERFACE (UI) / USER EXPERIENCE (UX) MENGGUNAKAN METODE LEAN UX PADA APLIKASI IPUSNAS,analisis dan perancangan user interface ui user experience ux menggunakan metode lean ux pada aplikasi ipusnas,Teknik Informatika,2021,Humairoh,"Andre Febrianto,S.Kom.,M.Eng.",https://repo.itera.ac.id/depan/submission/SB2109030006,Peningkatan ilmu pengetahuan dan teknologi menyebabkan banyak sekali aplikasi-aplikasi yang bermunculan untuk mensejajarkan teknologi dan berlomba-lomba dalam memberikan kemudahan dan kenyamanan bagi pengguna salah satunya yaitu aplikasi iPusnas. Pada penelitian ini penulis membuat rekomendasi ranca...
9,ANALISIS DAN PERANCANGAN USER INTERFACE DAN USER EXPERIENCE SOCIAL COMMERCE DENGAN MENGINTEGRASIKAN DESIGN THINKING KE DALAM METODE USER CENTERED DESIGN (STUDI KASUS: THE SHONET),analisis dan perancangan user interface dan user experience social commerce dengan mengintegrasikan design thinking ke dalam metode user centered design studi kasus the shonet,Teknik Informatika,2021,Putri Yolanda Sitompul,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106030024,Meningkatnya jumlah transaksi jual beli secara daring membuat social network untuk menambahkan fitur penjualan di dalam platformnya. Social commerce merupakan dalam melakukan transaksi jual beli saat ini yang menerapkan konsep sosial pada suatu e-commerce. The Shonet menerapkan hal yang serupa ke da...
10,Analisis dan Perbaikan Rancangan Ui/Ux pada Aplikasi Mobile OKEBOS menggunakan Metode Design Sprint,analisis dan perbaikan rancangan ui ux pada aplikasi mobile okebos menggunakan metode design sprint,Teknik Informatika,2022,Dian Asmara Dahana,"Muhammad Habib Algifari, S.Kom.,M.T.I.",https://repo.itera.ac.id/depan/submission/SB2208220002,"OKEBOS adalah perusahaan starup di lampung berbasis aplikasi mobile yang memiliki 8 layanan fitur utama yaitu antar barang, transportasi online, pemesanan jasa pijat, antar makanan/minuman serta menyediakan jasa servis yang bersedia untuk datang ke rumah pelanggan. Berdasarkan hasil Preliminary Rese..."
