id,title,clean_title,category,year,author,advisor,url,abstract,cluster
6,Analisis dan Perancangan UI/ UX dengan Pendekatan User Centered Design Pada Website Fintech Cicilan Online (Studi Kasus: Angsur),analisis dan perancangan ui ux dengan pendekatan user centered design pada website fintech cicilan online studi kasus angsur,Teknik Informatika,2020,Fardiansyah S Harahap,"Ir. Hira Laksmiwati Soemitro, M.Sc",https://repo.itera.ac.id/depan/submission/SB2009120001,"Perkembangan teknologi dan informasi sangat berkembang dan banyak membantu di berbagai bidang, termasuk bidang finansial dan keuangan atau yang lebih dikenal fintech ( financial technology). Salah satu bidang fintech yang berkembang adalah layanan cicilan/ angsuran online. Angsur merupakan salah satu layanan angsuran online yang membantu mahasiswa berbelanja online dengan sistem pembayaran angsuran dan bebas dari transaksi riba. Melalui analisis permasalahan dan evaluasi menggunakan heuristic evaluation yang dilakukan terhadap Angsur ditemukan bahwa aspek usability dan beberapa fitur dari Angsur masih belum maksimal. Oleh karena itu, dibutuhkan suatu pendekatan pengembangan website. Pendekatan yang digunakan untuk mengoptimalkan dan mengefisienkan antar muka dan pengalaman pengguna dalam penelitian ini adalah pendekatan User Centered Design dengan menggunakan metode Design Thinking. Design thinking terdiri dari 5 proses yaitu Emphatize, Define, Ideate, Prototype dan Test. Proses pengujian dilakukan menggunakan USE Questionaire yaitu kuesioner penilaian terhadap aspek Usefullness, Ease to Use, Ease to Learning dan Satisfaction. Hasil akhir dari penelitian ini adalah membandingkan aspek usability dari existing product dan development product. Hasil pengujian menunjukkan bahwa rancangan dari website Angsur mempunyai nilai aspek usability yang lebih baik dan lebih mudah untuk digunakan Kata Kunci : User centered Design, Design Thinking, Usability , USE Questionaire, Heuristic Evaluation",5
7,Analisis Dan Perancangan User Interface (UI) / User Experience (UX) Dengan Metode Lean UX Dan USE Questionnaire Pada Aplikasi Layanan Penyewaan Lapangan (Studi Kasus: Sewasi),analisis dan perancangan user interface ui user experience ux dengan metode lean ux dan use questionnaire pada aplikasi layanan penyewaan lapangan studi kasus sewasi,Teknik Informatika,2021,Isnedi Candra Kusuma,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106030031,"Perkembangan teknologi informasi yang pesat memaksa penggunanya yaitu manusia untuk selalu dapat beradaptasi dengannya, selain itu dengan perkembangan teknologi informasi yang pesat memungkinkan berbagai kegiatan manusia dapat dilakukan dengan cara yang lebih efektif. Salah satu kegiatan manusia yang menjadi lebih efektif adalah kegiatan transaksi. Sewasi merupakan salah satu startup di Indonesia yang bergerak di bidang sewa menyewa terutama pada penyewaan lapangan olahraga. Untuk mendukung sebuah startup tentunya terdapat aspek-aspek yang harus diperhatikan yaitu, membuat UI dan UX yang dapat dinilai user friendly bagi penggunanya. Pada penelitian ini penulis membantu Sewasi dalam membuat desain UI/UX untuk aplikasi mobile user atau pengguna Sewasi. Salah satu metode yang dapat digunakan untuk melakukan sebuah perancangan UI dan UX adalah metode Lean UX dan untuk menguji serta menganalisis apakah hasil perancangan dengan metode Lean UX sudah memenuhi nilai usability maka digunakan metode USE Questionnaire. Setelah penelitian dilakukan, dilakukan pengujian usability terhadap hasil prototype yang dibangun menggunakan metode Lean UX mendapatkan hasil 82,09",5
8,ANALISIS DAN PERANCANGAN USER INTERFACE (UI) / USER EXPERIENCE (UX) MENGGUNAKAN METODE LEAN UX PADA APLIKASI IPUSNAS,analisis dan perancangan user interface ui user experience ux menggunakan metode lean ux pada aplikasi ipusnas,Teknik Informatika,2021,Humairoh,"Andre Febrianto,S.Kom.,M.Eng.",https://repo.itera.ac.id/depan/submission/SB2109030006,"Peningkatan ilmu pengetahuan dan teknologi menyebabkan banyak sekali aplikasi-aplikasi yang bermunculan untuk mensejajarkan teknologi dan berlomba-lomba dalam memberikan kemudahan dan kenyamanan bagi pengguna salah satunya yaitu aplikasi iPusnas. Pada penelitian ini penulis membuat rekomendasi rancangan UI/UX aplikasi iPusnas yang berbasis mobile. Salah satu metode yang dapat digunakan untuk melakukan sebuah perancangan UI dan UX adalah metode Lean UX dan untuk menguji serta menganalisis apakah hasil perancangan dengan metode Lean UX dapat meningkatkan pengalaman pengguna. Pada penelitian ini dilakukan dua iterasi yang mana dari kedua iterasi tersebut nilai mean yang didapatkan meningkat dibanding dengan nilai mean data awal. Pada penilitian ini, nilai mean data awal aplikasi iPusnas sebesar 2.889607, pada iterasi pertama nilai mean meningkat menjadi 3.55555556 dan pada iterasi kedua nilai mean meningkat menjadi 3.755553. pada iterasi kedua juga diperoleh tampilan halaman baru yaitu tampilan halaman awal, halaman registrasi dan juga tampilan halaman notifikasi registrasi. Berdasarkan hal tersebut rancangan UI/UX ini dapat dijadikan sebagai bahan rekomendasi UI/UX pada aplikasi iPusnas. Kata kunci: Lean UX, Nilai Mean, iPusnas",5
10,Analisis dan Perbaikan Rancangan Ui/Ux pada Aplikasi Mobile OKEBOS menggunakan Metode Design Sprint,analisis dan perbaikan rancangan ui ux pada aplikasi mobile okebos menggunakan metode design sprint,Teknik Informatika,2022,Dian Asmara Dahana,"Muhammad Habib Algifari, S.Kom.,M.T.I.",https://repo.itera.ac.id/depan/submission/SB2208220002,"OKEBOS adalah perusahaan starup di lampung berbasis aplikasi mobile yang memiliki 8 layanan fitur utama yaitu antar barang, transportasi online, pemesanan jasa pijat, antar makanan/minuman serta menyediakan jasa servis yang bersedia untuk datang ke rumah pelanggan. Berdasarkan hasil Preliminary Research dan evaluasi awal yang diuji kepada 8 responden ditemukan permasalahan utama dari segi User Interface dan User Experience, permasalahan tersebut diantaranya konsistensi, tampilan UI serta beberapa permasalahan pada saat penggunaan aplikasi OKEBOS. Berdasarkan permasalahan tersebut peneliti ingin melakukan perancangan UI/UX pada aplikasi android OKEBOS dengan menggunakan metode Design Sprint yang terdiri dari 5 tahapan yaitu understand, deverge atau sketch, converge, prototype dan validate. Pada tahap-tahap ini akan dilakukan perbaikan beberapa fitur yang bermasalah dan dilakukan evaluasi perbandingan antara usability aplikasi OKEBOS dan usability redesign yang telah penulis buat, evaluasi yang dilakukan pada penelitian ini menggunakan metode evaluasi oleh Jacob Nielsen yang mengukur 5 aspek yaitu Learnability, Efficiency, Memorability, Errors dan Satisfaction dengan pengukuran SUS score untuk mengukur tingkat persepsi yang mehasilkan rata-rata meningkat dari 45.94 dengan kategori ‘Not Acceptable’, grade‘F’ dan peringkat adjective ‘Poor’ menjadi 81.56 dengan kategori ‘Acceptable’ grade ‘B’ dan peringkat adjective ‘Exellent’. Hasil penelitian ini yaitu prototype tampilan login, registrasi, beranda, bos kuliner, page pemesanan, fitur bos toko, bantuan dan isi saldo.",5
41,"ANALISIS USABILITY DAN PENGALAMAN PENGGUNA DOMPET ELEKTRONIK DENGAN USE QUESTIONNAIRE DAN USER EXPERIENCE QUESTIONNAIRE (UEQ) (Studi komparatif terhadap GoPay, OVO, DANA, dan ShopeePay)",analisis usability dan pengalaman pengguna dompet elektronik dengan use questionnaire dan user experience questionnaire ueq studi komparatif terhadap gopay ovo dana dan shopeepay,Teknik Informatika,2022,Bimo Aji Pamungkas,"Mohamad Idris, S.Si., M.Sc.",https://repo.itera.ac.id/depan/submission/SB2201270026,"Dompet elektronik (e-wallet) dikategorikan sebagai uang elektronik yang berada dalam server (server based) GoPay, OVO, DANA, dan ShopeePay merupakan dompet elektronik yang paling banyak digunakan di Indonesia pada tahun 2020. Penelitian kali ini berfokus pada analisis usability menggunakan metode USE Quesitonnaire dan pengalaman pengguna dengan metode User Experience Questionnare (UEQ) pada GoPay, OVO, DANA, dan ShopeePay. Berdasarkan penelitian yang telah dilakukan, DANA memiliki nilai usability tertinggi pada semua aspek USE Questionnaire. OVO memiliki nilai pengalaman pengguna tertinggi pada 5 aspek UEQ yaitu Attractivness, Perspicuity, Efficiency, Stimulation, dan Novelty, sedangkan DANA memiliki nilai pengalaman pengguna tertinggi pada aspek Dependability.",5
66,EVALUASI DAN PERANCANGAN ANTARMUKA PENGGUNA MENGGUNAKAN METODE GOAL DIRECTED DESIGN PADA APLIKASI OJESA,evaluasi dan perancangan antarmuka pengguna menggunakan metode goal directed design pada aplikasi ojesa,Teknik Informatika,2021,Irma Safitri,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106110007,"Ojesa merupakan aplikasi ojek online yang menyediakan layanan antar jemput dan kurir khusus untuk wanita dan anak-anak. Aplikasi Ojesa baru dibangun, oleh karena itu masih perlu dilakukan pengembangan khususnya pada antarmuka pengguna agar pengguna dapat dengan mudah berinteraksi dengan aplikasi. Usability merupakan sebuah atribut kualitas untuk mengukur sejauh mana suatu aplikasi dapat dengan mudah dioperasikan oleh pengguna dalam mencapai suatu tujuan dan memenuhi kebutuhan pengguna oleh karena itu mengevaluasi nilai usability pada aplikasi Ojesa diperlukan. Model pengukuran usability pada aplikasi Ojesa menggunakan model PACMAD (People at The Center of Mobile Aplication Devvelopment) yang memiliki tujuh parameter penilaian yaitu effectiveness, efficiency, satisfaction, learnability, memorability, error dan cognitive load. Setelah dilakukan evaluasi usability pada aplikasi Ojesa, dari tujuh aspek usability diperoleh dua aspek yang memiliki nilai yang masih rendah yaitu Satisfaction dan Cognitive Load oleh karena itu dilakukan perancangan rekomendasi antarmuka pengguna dengan metode Goal Directed Design untuk meningkatkan nilai usability pada aplikasi Ojesa. Hasil evaluasi akhir pada rekomendasi antarmuka pengguna yang dirancang berhasil menunjukkan perbaikan nilai usability yaitu aspek effectiveness 95.6%, efficiency 95.8%, Satisfaction 82.3, Learnability 98%, Memorability 95.6",5
69,Evaluasi Information System Success Model dan Expectation-Confirmation Model untuk Mengukur Keberlanjutan Penggunaan Platform MOOCs,evaluasi information system success model dan expectation confirmation model untuk mengukur keberlanjutan penggunaan platform moocs,Teknik Informatika,2025,INORI MUIRA SITANGGANG,"Meida Cahyo Untoro, S.Kom., M.Kom",https://repo.itera.ac.id/depan/submission/SB2509200009,"Penelitian ini mengkaji keberlanjutan penggunaan platform Massive Open Online Courses (MOOCs) dengan menggabungkan Information System Success Model (ISSM) dan Expectation Confirmation Model (ECM). Tujuan utama adalah mengevaluasi faktor-faktor yang memengaruhi kepuasan dan niat berkelanjutan pengguna platform MOOCs. Metode yang digunakan adalah Partial Least Squares-Structural Equation Modeling (PLS-SEM) dengan implementasi melalui Python. Model penelitian melibatkan enam konstruk: System Quality, Information Quality, Hedonic Motivation, Perceived Usefulness, Satisfaction, dan Continued Intention. Data dikumpulkan dari 113 responden, dengan 103 data valid yang dianalisis. Hasil menunjukkan bahwa Perceived Usefulness, Information Quality, dan Hedonic Motivation berpengaruh terhadap Satisfaction, dan Perceived Usefulness, Information Quality, serta Hedonic Motivation berpengaruh terhadap Continued Intention. Sebaliknya, System Quality tidak menunjukkan pengaruh signifikan terhadap Satisfaction. Model menunjukkan validitas konvergen dan diskriminan yang baik, serta nilai R² dan Q² yang mendukung relevansi prediktif. Penelitian ini memberikan kontribusi terhadap pengembangan strategi peningkatan retensi pengguna platform MOOCs dan memperkuat pemahaman tentang faktor-faktor pasca-adopsi dalam sistem pembelajaran dalam jaringan.",5
78,EVALUASI PENGALAMAN PENGGUNA PADA APLIKASI LAYANAN PESAN ANTAR MENGGUNAKAN UX HONEYCOMB DAN USER EXPERIENCE QUESTIONNAIRE (UEQ) (Studi komparatif terhadap GoFood dan GrabFood),evaluasi pengalaman pengguna pada aplikasi layanan pesan antar menggunakan ux honeycomb dan user experience questionnaire ueq studi komparatif terhadap gofood dan grabfood,Teknik Informatika,2021,Ivena Chindy Claudia,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2102010020,"Dalam suatu aplikasi, ada beberapa hal yang memengaruhi kepuasan pengguna untuk terus menggunakan aplikasi tersebut, salah satunya adalah pengalaman pengguna (user experience). Penelitian ini ditujukan untuk membandingkan tingkat pengalaman pengguna dari aplikasi layanan pesan antar makanan GoFood dan GrabFood dengan melakukan evaluasi menggunakan metode UX Honeycomb dan User Experience Questionnaire (UEQ). Berdasarkan penelitian yang telah dilakukan, didapatkan bahwa tingkat pengalaman pengguna layanan GoFood dan GrabFood tidak berbeda secara signifikan. Akan tetapi, berdasarkan skala UEQ, GoFood sedikit lebih unggul pada 4 skala UEQ yaitu daya tarik, ketepatan, stimulasi, dan kebaruan, sedangkan GrabFood hanya sedikit lebih unggul pada 2 skala, yaitu efisiensi dan kejelasan. Pada aspek UX Honeycomb, GoFood sedikit lebih unggul pada 5 aspek UX Honeycomb yaitu useful, findable, accessible, credible, dan valuable, sedangkan GrabFood unggul pada aspek usable dan desirable.",5
83,Evaluasi serta Perancangan UI/UX dengan Metode Think Aloud pada Aplikasi Layanan Transportasi Daring Berbasis Mobile (Studi Kasus Ustreet),evaluasi serta perancangan ui ux dengan metode think aloud pada aplikasi layanan transportasi daring berbasis mobile studi kasus ustreet,Teknik Informatika,2021,Aditya Ricky Pratama,"Amirul Iqbal, S.Kom., M.Eng",https://repo.itera.ac.id/depan/submission/SB2106090054,"Meningkatnya penggunaan internet dan mobile phone mendorong perkembangan teknologi dan memunculkan inovasi aplikasi berbasis mobile untuk pemesanan jasa layanan antar berupa ojek atau mobil secara online. UStreet sebagai penyedia layanan yang bergerak dalam bidang jasa transportasi daring dan menjadi platform transportasi daring asal Lampung yang membantu pengguna daerah bandar lampung dalam memenuhi kebutuhannya. Berdasarkan hasil preliminary research yang telah dilakukan sebagai pencarian data awal menggunakan kuesioner didapatkan hasil sebanyak 30 orang responden yang pernah menggunakan aplikasi Ustreet. Pada hasil tersebut ditemukan permasalahan dalam faktor antarmuka dan pengalaman penggunaan. Berdasarkan hal permasalahan tersebut dapat mempengaruhi tingkat kepuasan pengguna. Meninjau dari permasalahan usability tersebut akan dilakukan evaluasi dengan menggunakan metode think aloud untuk mendapatkan feedback pengguna yang akan menjadi bahan desain rekomendasi, dan menggunakan metode USE Questionnaire untuk mengukur tingkat nilai usability. Pengujian awal nilai usability pada desain existing menggunakan metode pengukuran nilai usability dengan USE QUESTIONNAIRE didapatkan hasil nilai usability yaitu 39,974",5
86,EVALUASI UI/UX DAN PERANCANGAN FRONT-END PADA SISTEM INFORMASI PELAYANAN POLRES LAMPUNG TIMUR BERBASIS WEB MENGGUNAKAN METODE HEURISTIC EVALUATION,evaluasi ui ux dan perancangan front end pada sistem informasi pelayanan polres lampung timur berbasis web menggunakan metode heuristic evaluation,Teknik Informatika,2024,LUCKY FEBRIAN,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2405290064,"Sistem Informasi Pelayanan Polres Lampung Timur baru dibuat pada tahun 2021 dan belum pernah dilakukan evaluasi sehingga dilakukan preliminary research menggunakan 2 jenis kuisioner. Pada kuisioner pertama didapatkan beberapa masalah yang ditemukan oleh pengguna contohnya tidak adanya fitur pencarian berita dan lupa kata sandi dan pada kuisioner kedua didapatkan skor SUS 48.5 dengan grade F yang kategori Not Acceptable. Berdasarkan hasil preliminary research perlu adanya eveluasi dan perancangan front-end baru untukeningkatkan pengalaman pengguna sistem informasi Polres Lampung Timur dan menciptakan tampilan antarmuka yang mempunyai tingkat masalah usability yang minim Metode yang digunakan pada penelitian ini adalah metode metode Heuristic Evaluation dan System Usability Scale (SUS). Metode System Usability Scale (SUS) digunakan untuk mengetahui nilai kepuasan pengguna terhadap aspek usability dari website Polres Lampung Timur dengan pengguna (end user) sebagai penguji namun kekurangan dari metode ini adalah tidak menghasilkan permasalahan usability yang ada. Sedangkan metode Heuristic Evaluation digunakan untuk menemukan permasalahan usability dalam tampilan antarmuka dan juga solusi dari permasalahan yang ada pada sistem informasi melalui para evaluator expert, namun kekurangan dari metode ini adalah tidak adanya nilai kuantitatif yang mengukur tingkat usability secara keseluruhan berdasarkan para pengguna. Sehingga penggunaan 2 metode ini saling melengkapi satu sama lain Pengambilan data dilakukan dengan metode Heuristic Evaluation pada sistem yang lama dan didapatkan 58 permasalahan. Selanjutnya data dianalisis dan dilakukan perancangan front-end baru. Setelah itu dilakukan pengujian pada front-end terbaru dan didapatkan hasil hasil skor SUS 83.9 dengan grade A dan 5 temuan masalah dari Heuristic Evaluation Kata Kunci : Sistem Informasi Pelayanan, System Usability Scale (SUS), Heuristic Evaluation (HE), Front-end, Expert",5
