id,title,clean_title,category,year,author,abstract_snippet,cluster
2,ALAT DETEKSI DAN PENGUSIRAN HAMA TIKUS DAN BURUNG PADA TANAMAN PADI BERBASIS INTERNET OF THINGS (IOT),alat deteksi dan pengusiran hama tikus dan burung pada tanaman padi berbasis internet of things iot,Teknik Informatika,2021,Indri Wulan Dari,"Alat Deteksi dan Pengusiran Hama Tikus dan Burung pada Tanaman Padi Berbasis Internet of Things (IoT) Indri Wulan Dari (14116087) Pembimbing 1 : Meida Cahyo Untoro, S.Kom., M.Kom. Pembimbing 2 : Angga Wijaya, S.Si.,M.Si. ABSTRAK Indonesia sering disebut negara agraris, karena memiliki lah...",6
3,Alat Monitoring Tanah dan Pengusir Hama Otomatis Berbasis IoT dengan Penjadwalan Menggunakan Metode Naïve Bayes,alat monitoring tanah dan pengusir hama otomatis berbasis iot dengan penjadwalan menggunakan metode na ve bayes,Teknik Informatika,2021,Leo Viranda Millennium,"Padi dalam pertumbuhannya memerlukan kondisi lahan tertentu agar dapat tumbuh dengan baik dan memiliki kerentanan terhadap serangan organisme pengganggu tanaman seperti hama serangga (wereng coklat, belalang, dan wereng putih), dan hama burung. Penelitian memiliki tujuan untuk mengembangkan al...",6
48,DENTIFIKASI PENYAKIT PADA DAUN BIBIT KELAPA SAWIT DENGAN PENDEKATAN NAÏVE BAYES MENGGUNAKAN OPTIMASI GENETIC ALGORITHM DAN PARTICLE SWARM OPTIMIZATION (Studi Kasus: PT Perkebunan Nusantara IV Regional 7 Kebun Bekri),dentifikasi penyakit pada daun bibit kelapa sawit dengan pendekatan na ve bayes menggunakan optimasi genetic algorithm dan particle swarm optimization studi kasus pt perkebunan nusantara iv regional 7 kebun bekri,Teknik Informatika,2025,NATASYA ATE MALEM BANGUN,"Tanaman kelapa sawit merupakan komoditas unggulan Indonesia yang memiliki peran penting dalam perekonomian nasional. Namun pada fase pertumbuhan, bibit kelapa sawit rentan terhadap serangan berbagai penyakit, terutama pada daun yang dapat menurunkan kualitas dan produktivitas bibit. Oleh karena itu...",6
56,DETEKSI KESEGARAN IKAN EKOR KUNING BERDASARKAN AREA MATA MENGGUNAKAN MOBILENETV2,deteksi kesegaran ikan ekor kuning berdasarkan area mata menggunakan mobilenetv2,Teknik Informatika,2026,Muhammad Bayu Pradana,"Ikan merupakan sumber utama protein hewani yang penting bagi masyarakat Indonesia, terutama ikan ekor kuning yang memiliki nilai ekonomi tinggi. Penilaian kesegaran ikan umumnya masih dilakukan secara manual melalui observasi visual, yang bersifat subjektif dan kurang konsisten. Penelitian ini bertu...",6
57,DETEKSI OBJEK CITRA JAMUR TIRAM PUTIH SIAP PANEN MENGGUNAKAN YOU ONLY LOOK ONCE (YOLOv5),deteksi objek citra jamur tiram putih siap panen menggunakan you only look once yolov5,Teknik Informatika,2024,Genja Rizky Novianto,"Jamur tiram putih menjadi komoditas hortikultura yang memiliki nilai ekonomi tinggi dengan permintaan produksi dan konsumsi yang terus meningkat. Berdasarkan data Badan Pusat Statistik (BPS), produksi jamur nasional pada tahun 2021 mencapai 90.420 kilogram. Dalam meningkatkan kualitas produksi dan k...",6
59,DETEKSI PENYAKIT PADA DAUN KOPI MENGGUNAKAN DECISION TREE BERBASIS MOBILE,deteksi penyakit pada daun kopi menggunakan decision tree berbasis mobile,Teknik Informatika,2023,Fahlevi Ikhsanur Rizal,"Penelitian ini bertujuan untuk mengembangkan aplikasi berbasis mobile menggunakan algoritma Decision Tree guna mendeteksi dan mengklasifikasikan penyakit pada daun kopi. Penanganan penyakit pada tanaman kopi menjadi penting dalam upaya mengurangi kerugian bagi petani. Oleh karena itu, aplikasi ini d...",6
102,Identifikasi Penyakit Bercak Daun Pada Tanaman Terung Menggunakan Ekstraksi Ciri Gray Level Co-Occurrence Matrix (GLCM) Dan Klasifikasi Support Vector Machine (SVM),identifikasi penyakit bercak daun pada tanaman terung menggunakan ekstraksi ciri gray level co occurrence matrix glcm dan klasifikasi support vector machine svm,Teknik Informatika,2021,Reza Pahlevi,Terung (Solanum melongena L.) merupakan salah satu tanaman sayur-sayuran yang banyak hidup di Indonesia yang berasal dari famili Solanaceae. Ada beberapa jenis penyakit yang dapat menyerang tanaman terung salah satunya yaitu penyakit bercak daun. Penyakit bercak daun pada tanaman terung disebabkan o...,6
103,Identifikasi Penyakit Daun Teh Menggunakan Metode You Only Look Once Versi 8 (YOLOv8),identifikasi penyakit daun teh menggunakan metode you only look once versi 8 yolov8,Teknik Informatika,2024,Wella Amanda,"Pertanian adalah sektor penting di Indonesia, dengan teh sebagai salah satu komoditas unggulan. Sumatera Utara, khususnya PTPN IV di Bah-Butong, adalah daerah penghasil teh utama dengan rata-rata hasil panen 50-55 ton/hari. Tanaman teh rentan terhadap penyakit daun yang mempengaruhi kualitas dan ras...",6
104,IDENTIFIKASI PENYAKIT PADA DAUN BIBIT KELAPA SAWIT DENGAN METODE DEEP LEARNING MENGGUNAKAN ARSITEKTUR ALEXNET,identifikasi penyakit pada daun bibit kelapa sawit dengan metode deep learning menggunakan arsitektur alexnet,Teknik Informatika,2025,BENEDICTUS BUDHI DHARMAWAN,"Kelapa sawit merupakan salah satu komoditas penting di Indonesia, namun budidayanya seringkali mengalami kendala akibat serangan penyakit pada daun sejak umur muda. Penyakit seperti bercak, menguning, menggulung, berkerut, dan berputar berpotensi menyebar sehingga dapat menghambat pertumbuhan. Prose...",6
105,IDENTIFIKASI PENYAKIT PADA DAUN BIBIT KELAPA SAWIT DENGAN METODE DEEP LEARNING MENGGUNAKAN ARSITEKTUR RESNET-34,identifikasi penyakit pada daun bibit kelapa sawit dengan metode deep learning menggunakan arsitektur resnet 34,Teknik Informatika,2025,Tobyanto Putra Mandiri,"Kelapa sawit dengan nama latin Elaeis guinensis Jacq merupakan komoditas unggulan di Indonesia yang memiliki nilai ekonomi tinggi, namun pada tahap pembibitan seringkali terjadi masalah penyakit daun seperti bercak, berkerut, menggulung, menguning, dan berputar. Penanganan manual melalui observasi g...",6
