id,title,clean_title,category,year,author,advisor,url,abstract,cluster
1,Alarm Limitasi Pengunjung untuk Ruang Umum Tertutup Berbasis Crowd Counting,alarm limitasi pengunjung untuk ruang umum tertutup berbasis crowd counting,Teknik Informatika,2021,Angelica Kirana Sandra Dewi,"Martin C.T. Manullang, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB2106150040,"Dengan mulai kembali pulihnya perekenomian di masa pandemik Covid-19 ini, aktifitas ekonomi kini kembali berjalan lagi. Sektor bisnis dan perdagangan pun mulai dibuka kembali. Dengan dibukanya sektor tersebut, dikhawatirkan akan adanya kerumunan yang dapat menyebabkan percepatan pada penyebaran virus Covid-19. Penelitian ini dilakukan untuk membantu penerapan peraturan pemerintah mengenai kapasitas pengunjung pada ruang umum tertutup dilihat dari masih minimnya instrumen penegakan peraturan tersebut. Pada penelitian ini, dibangun sistem yang mampu mendeteksi pengunjung dan menghitung jumlah pengunjung menggunakan algoritma Yolov4. Sistem akan memicu alarm ketika pengunjung telah melebihi batas maksimal yang ditentukan. Sistem juga mampu memberikan peringatan pada pemilik ruang umum tertutup ketika pengunjung melebihi kapasitas yang ditentukan melalui notifikasi pada perangkat pemilik.",12
2,ALAT DETEKSI DAN PENGUSIRAN HAMA TIKUS DAN BURUNG PADA TANAMAN PADI BERBASIS INTERNET OF THINGS (IOT),alat deteksi dan pengusiran hama tikus dan burung pada tanaman padi berbasis internet of things iot,Teknik Informatika,2021,Indri Wulan Dari,"Meida Cahyo Untoro, S.Kom.,M.Kom.",https://repo.itera.ac.id/depan/submission/SB2202160001,"Alat Deteksi dan Pengusiran Hama Tikus dan Burung pada Tanaman Padi Berbasis Internet of Things (IoT) Indri Wulan Dari (14116087) Pembimbing 1 : Meida Cahyo Untoro, S.Kom., M.Kom. Pembimbing 2 : Angga Wijaya, S.Si.,M.Si. ABSTRAK Indonesia sering disebut negara agraris, karena memiliki lahan pertanian yang luas dan subur. Sektor pertanian sendiri memiliki peran penting sebagai penghasil kebutuhan pokok. Beras merupakan tanaman utama bagi masyarakat Indonesia, dan produksi beras perlu ditingkatkan setiap tahun untuk memenuhi permintaan yang terus meningkat. Hama termasuk hama tanaman (OPT) yang merupakan salah satu faktor penyebab gagal panen padi. Hama yang sering mengganggu pertanian yaitu hama tikus dan hama burung. Dalam mengatasi serangan hama biasanya para petani menggunakan metode secara manual. Untuk permasalahan hama tikus, biasanya petani memberikan pengasapan pada daerah sawah tempat bersarangnya tikus, ataupun menggunakan predator alami seperti burung hantu. Kemudian untuk mengatasi serangan hama burung pipit, petani biasanya meletakkan orang-orangan sawah dan memasang kaleng disepanjang sawah dengan tali untuk dibunyikan secara berulang-ulang untuk mengusir burung yang sedang memakan padi. Akan sangat merepotkan dan melelahkan apabila para petani masih mengunakan cara manual. Pada penelitian ini, saya membuat alat menggunakan sensor HC-SR04 untuk melakukan deteksi jarak hama tikus yang terbaca oleh sensor, kemudian memanfaatkan sensor HC-SR501 untuk deteksi pergerakan burung pipit dan hasil deteksi yang diperoleh oleh alat akan diolah oleh NodeMCU dan dikirimkan ke firebase. Dapat diketahui bahwa hasil penelitian yang diperoleh dengan memanfaatkan sensor HC-SR04 didapatkan jarak keefektifannya yaitu pada jarak kurang dari 100 cm yang mana akan membuat hama tikus terganggu dan dapat mengusir hama tikus. Kemudian pengujian menggunakan sensor HC-SR501 untuk jarak keefektifannya yaitu pada jarak 1-2 meter yang mana akan membuat aquator atau motor servo bergerak dengan sudut 1800 dan membuat hama burung terganggu. Melalui tahapan pengujian alat , dapat disimpulkan bahwa sistem pendeteksi hama padi berbasis IoT dapat bekerja dengan baik. Kata kunci : Hama, Ultrasonik HC-SR04, PIR HC-SR501, Internet of Things, NodeMCU, Firebase",10
3,Alat Monitoring Tanah dan Pengusir Hama Otomatis Berbasis IoT dengan Penjadwalan Menggunakan Metode Naïve Bayes,alat monitoring tanah dan pengusir hama otomatis berbasis iot dengan penjadwalan menggunakan metode na ve bayes,Teknik Informatika,2021,Leo Viranda Millennium,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2108250029,"Padi dalam pertumbuhannya memerlukan kondisi lahan tertentu agar dapat tumbuh dengan baik dan memiliki kerentanan terhadap serangan organisme pengganggu tanaman seperti hama serangga (wereng coklat, belalang, dan wereng putih), dan hama burung. Penelitian memiliki tujuan untuk mengembangkan alat monitoring tanah dan pengusir hama otomatis berbasis IoT dan menghitung peluang keberhasilan dalam melakukan pengusiran hama burung. Data hasil pengujian monitoring kondisi lahan mendapatkan hasil rata-rata error sebesar 3,16% untuk pH tanah dan 2,62% untuk kelembapan tanah. Pengujian penanganan hama dilakukan di dalam dan luar ruangan dikarenakan alat selesai dan bisa diuji diluar musim tanam dan panen. Hasil pengujian dapat diketahui bahwa alat memiliki jangkauan efektif sejauh 7 m. Pengujian dalam ruangan terhadap hama serangga belalang mengakibatkan hama belalang mengalami perubahan pola reaksi dan bahkan mati ketika terpapar ultrasonik selama ± 40 menit. Pengujian alat di dalam ruangan terhadap hama burung mendapatkan peluang keberhasilan alat dalam mengusir hama burung sebesar 67,8%. Pengujian luar ruangan mendapatkan hasil malfungsi pada fitur pendeteksian hama yang dilakukan pada siang hari dan efektif pada malam hari yang disebabkan oleh keterbatasan sensor. Untuk mengatasi permasalahan tersebut, diberikan solusi dengan dilakukannya penjadwalan pengaktifan penanganan hama secara berkala berdasarkan data aktivitas hama yang diolah menggunakan algoritma naive bayes dengan hasil penjadwalan pagi hari pada pukul 06.00-10.00 dan sore hari pada pukul 14.00-17.00. Kata kunci : PH tanah, Kelembapan Tanah, Hama Padi, IoT, Algoritma Naive Bayes, Arduino Mega, Firebase, Aktivitas hama.",10
4,Analisa Penggunaan Rangkaian Skincare dengan Algoritma Apriori (Studi Kasus : Mahasiswa dan Mahasiswi Institut Teknologi Sumatera),analisa penggunaan rangkaian skincare dengan algoritma apriori studi kasus mahasiswa dan mahasiswi institut teknologi sumatera,Teknik Informatika,2021,Fristy Riani Puspitasari,"Angga Wijaya, S.Si., M.Si.",https://repo.itera.ac.id/depan/submission/SB2106100017,"Setiap orang pasti ingin memiliki kulit wajah yang sehat dan juga indah. Tetapi bagi beberapa orang, kulit yang sehat dan indah tidaklah cukup memuaskan dan tetap harus diimbangi dengan perawatan wajah agar dapat memiliki wajah yang cantik. Perawatan kulit wajah adalah salah satu usaha yang dilakukan seseorang untuk membuat kulit wajahnya menjadi bersih dan sehat salah satunya adalah dengan menggunakan tahapan – tahapan rangkaian skincare. Skincare merupakan aktivitas untuk menjaga kesehatan kulit wajah yang biasanya dimulai dari melakukan aktivitas berupa cuci muka hingga aktivitas akhir yaitu menggunakan face oil. Skincare merupakan rangkaian perawatan kulit wajah yang digunakan di kalangan baik pria maupun wanita. Namun, diantara mereka masih banyak pengguna yang belum tau bahkan tidak mengerti penggunaan rangkaian skincare yang baik dan benar yang sesuai dengan urutan pemakaian skincare yang benar. Oleh karena itu, penelitian ini memiliki tujuan yaitu melakukan analisa hubungan antar item penggunaan rangkaian skincare untuk melihat keterkaitan antar item yang digunakan tiap pengguna dengan menggunakan Association Rules dengan Algoritma Apriori dan menarik kesimpulan hasil dari penerapan Association Rules dengan Algoritma Apriori tersebut. Analisa ini menggunakan 12 rangkaian tahapan skincare yang meliputi pemakaian pada pagi hari dan pemakaian pada malam hari.",3
5,ANALISA PERBANDINGAN METODE KOMPRESI PESAN DENGAN METODE LZW DAN DEFLATE PADA PROSES PENYISIPAN CITRA DIGITAL MENGGUNAKAN METODE STEGANOGRAFI BPCS,analisa perbandingan metode kompresi pesan dengan metode lzw dan deflate pada proses penyisipan citra digital menggunakan metode steganografi bpcs,Teknik Informatika,2023,Citra Amelia,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2306120036,"Pengiriman data yang kurang aman memungkinkan orang lain untuk mencuri informasi demi mencari keuntungan pribadi. Penggunaan metode steganografi Bit Plane Complexity Segmentation (BPCS) digunakan untuk penyembunyian pesan atau data rahasia dikarenakan BPCS dapat menyisipkan pesan tanpa merusak kualitas dari cover-image. Dalam steganografi, semakin besar pesan yang disisipkan kedalam cover image memerlukan kapasitas citra cover yang lebih besar. Salah satu solusi yang dapat dilakukan untuk memaksimalkan kinerja BPCS adalah dengan menggunakan metode kompresi. Banyaknya algoritma kompresi yang dapat digunakan membuat diperlukannya perbandingan dari kedua kompresi yang umum digunakan. Berdasarkan permasalahan tersebut, dilakukan penelitian penerapan metode kompresi Lempel-Ziv-Welch (LZW) dan kompresi Deflate pada steganografi BPCS. Berdasarkan penelitian yang telah dilakukan, penggunaan metode LZW dan Deflate lebih efektif digunakan pada penyisipan BPCS dikarenakan kualitas gambar dan waktu penyisipan yang dihasilkan menjadi lebih efisien ketika secret image telah melewati proses kompresi. Waktu ekstraksi akan selalu lebih cepat dibandingkan waktu kompresi dan penyisipan hal ini disebabkan adanya tahapan pada proses penyisipan yang tidak dilakukan pada tahapan ekstraksi seperti pemilihan layer dan proses pergantian (substitusi bitplane). Hasil pengujian ke-54 data fidelity dihasilkan keseluruhan nilai PSNR diatas 50 dB yang menandakan citra stego yang dihasilkan sangat baik. Persentase recovery pada keseluruhan data uji didapatkan sebesar 100% sehingga dapat dikatakan bahwa pengujian recovery berhasil dilakukan. Sedangkan hasil pengujian ke-12 data imperceptibility didapatkan rata-rata nilai MOS sebesar 4,96 rata-rata persentase kemiripan sebesar 99,2% (sangat baik). Sehingga dapat disimpulkan bahwa secara kasat mata citra hasil penyisipan sama dengan citra cover asli.",7
6,Analisis dan Perancangan UI/ UX dengan Pendekatan User Centered Design Pada Website Fintech Cicilan Online (Studi Kasus: Angsur),analisis dan perancangan ui ux dengan pendekatan user centered design pada website fintech cicilan online studi kasus angsur,Teknik Informatika,2020,Fardiansyah S Harahap,"Ir. Hira Laksmiwati Soemitro, M.Sc",https://repo.itera.ac.id/depan/submission/SB2009120001,"Perkembangan teknologi dan informasi sangat berkembang dan banyak membantu di berbagai bidang, termasuk bidang finansial dan keuangan atau yang lebih dikenal fintech ( financial technology). Salah satu bidang fintech yang berkembang adalah layanan cicilan/ angsuran online. Angsur merupakan salah satu layanan angsuran online yang membantu mahasiswa berbelanja online dengan sistem pembayaran angsuran dan bebas dari transaksi riba. Melalui analisis permasalahan dan evaluasi menggunakan heuristic evaluation yang dilakukan terhadap Angsur ditemukan bahwa aspek usability dan beberapa fitur dari Angsur masih belum maksimal. Oleh karena itu, dibutuhkan suatu pendekatan pengembangan website. Pendekatan yang digunakan untuk mengoptimalkan dan mengefisienkan antar muka dan pengalaman pengguna dalam penelitian ini adalah pendekatan User Centered Design dengan menggunakan metode Design Thinking. Design thinking terdiri dari 5 proses yaitu Emphatize, Define, Ideate, Prototype dan Test. Proses pengujian dilakukan menggunakan USE Questionaire yaitu kuesioner penilaian terhadap aspek Usefullness, Ease to Use, Ease to Learning dan Satisfaction. Hasil akhir dari penelitian ini adalah membandingkan aspek usability dari existing product dan development product. Hasil pengujian menunjukkan bahwa rancangan dari website Angsur mempunyai nilai aspek usability yang lebih baik dan lebih mudah untuk digunakan Kata Kunci : User centered Design, Design Thinking, Usability , USE Questionaire, Heuristic Evaluation",0
7,Analisis Dan Perancangan User Interface (UI) / User Experience (UX) Dengan Metode Lean UX Dan USE Questionnaire Pada Aplikasi Layanan Penyewaan Lapangan (Studi Kasus: Sewasi),analisis dan perancangan user interface ui user experience ux dengan metode lean ux dan use questionnaire pada aplikasi layanan penyewaan lapangan studi kasus sewasi,Teknik Informatika,2021,Isnedi Candra Kusuma,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106030031,"Perkembangan teknologi informasi yang pesat memaksa penggunanya yaitu manusia untuk selalu dapat beradaptasi dengannya, selain itu dengan perkembangan teknologi informasi yang pesat memungkinkan berbagai kegiatan manusia dapat dilakukan dengan cara yang lebih efektif. Salah satu kegiatan manusia yang menjadi lebih efektif adalah kegiatan transaksi. Sewasi merupakan salah satu startup di Indonesia yang bergerak di bidang sewa menyewa terutama pada penyewaan lapangan olahraga. Untuk mendukung sebuah startup tentunya terdapat aspek-aspek yang harus diperhatikan yaitu, membuat UI dan UX yang dapat dinilai user friendly bagi penggunanya. Pada penelitian ini penulis membantu Sewasi dalam membuat desain UI/UX untuk aplikasi mobile user atau pengguna Sewasi. Salah satu metode yang dapat digunakan untuk melakukan sebuah perancangan UI dan UX adalah metode Lean UX dan untuk menguji serta menganalisis apakah hasil perancangan dengan metode Lean UX sudah memenuhi nilai usability maka digunakan metode USE Questionnaire. Setelah penelitian dilakukan, dilakukan pengujian usability terhadap hasil prototype yang dibangun menggunakan metode Lean UX mendapatkan hasil 82,09",0
8,ANALISIS DAN PERANCANGAN USER INTERFACE (UI) / USER EXPERIENCE (UX) MENGGUNAKAN METODE LEAN UX PADA APLIKASI IPUSNAS,analisis dan perancangan user interface ui user experience ux menggunakan metode lean ux pada aplikasi ipusnas,Teknik Informatika,2021,Humairoh,"Andre Febrianto,S.Kom.,M.Eng.",https://repo.itera.ac.id/depan/submission/SB2109030006,"Peningkatan ilmu pengetahuan dan teknologi menyebabkan banyak sekali aplikasi-aplikasi yang bermunculan untuk mensejajarkan teknologi dan berlomba-lomba dalam memberikan kemudahan dan kenyamanan bagi pengguna salah satunya yaitu aplikasi iPusnas. Pada penelitian ini penulis membuat rekomendasi rancangan UI/UX aplikasi iPusnas yang berbasis mobile. Salah satu metode yang dapat digunakan untuk melakukan sebuah perancangan UI dan UX adalah metode Lean UX dan untuk menguji serta menganalisis apakah hasil perancangan dengan metode Lean UX dapat meningkatkan pengalaman pengguna. Pada penelitian ini dilakukan dua iterasi yang mana dari kedua iterasi tersebut nilai mean yang didapatkan meningkat dibanding dengan nilai mean data awal. Pada penilitian ini, nilai mean data awal aplikasi iPusnas sebesar 2.889607, pada iterasi pertama nilai mean meningkat menjadi 3.55555556 dan pada iterasi kedua nilai mean meningkat menjadi 3.755553. pada iterasi kedua juga diperoleh tampilan halaman baru yaitu tampilan halaman awal, halaman registrasi dan juga tampilan halaman notifikasi registrasi. Berdasarkan hal tersebut rancangan UI/UX ini dapat dijadikan sebagai bahan rekomendasi UI/UX pada aplikasi iPusnas. Kata kunci: Lean UX, Nilai Mean, iPusnas",0
9,ANALISIS DAN PERANCANGAN USER INTERFACE DAN USER EXPERIENCE SOCIAL COMMERCE DENGAN MENGINTEGRASIKAN DESIGN THINKING KE DALAM METODE USER CENTERED DESIGN (STUDI KASUS: THE SHONET),analisis dan perancangan user interface dan user experience social commerce dengan mengintegrasikan design thinking ke dalam metode user centered design studi kasus the shonet,Teknik Informatika,2021,Putri Yolanda Sitompul,"Andre Febrianto, S.Kom., M.Eng.",https://repo.itera.ac.id/depan/submission/SB2106030024,"Meningkatnya jumlah transaksi jual beli secara daring membuat social network untuk menambahkan fitur penjualan di dalam platformnya. Social commerce merupakan dalam melakukan transaksi jual beli saat ini yang menerapkan konsep sosial pada suatu e-commerce. The Shonet menerapkan hal yang serupa ke dalam platformnya. Untuk meningkatkan usability situs web The Shonet Shop, maka penulis melakukan evaluasi untuk mengetahui permasalahan yang ada dengan mengintegrasikan Design Thinking ke dalam metode User Centered Design (UCD) dengan metode evaluasi Heuristic Evaluation. Hasil Heuristic Evaluation pada tahap empathize terhadap antarmuka dan pengalaman pengguna existing product, yaitu situs web The Shonet Shop, semua aspek usability mendapatkan persentase kelayakan yang berada di bawah range 74%. Berdasarkan skor tersebut semua aspek diperlukan adanya perbaikan. Sedangkan hasil Heuristic Evaluation pada tahap test terhadap rancangan usulan antarmuka dan pengalaman pengguna, semua aspek usability mendapatkan persentase kelayakan di atas range 90%. Berdasarkan peningkatan pada persentase kelayakan rancangan usulan yang dilakukan, semua aspek tidak memerlukan perbaikan.",0
10,Analisis dan Perbaikan Rancangan Ui/Ux pada Aplikasi Mobile OKEBOS menggunakan Metode Design Sprint,analisis dan perbaikan rancangan ui ux pada aplikasi mobile okebos menggunakan metode design sprint,Teknik Informatika,2022,Dian Asmara Dahana,"Muhammad Habib Algifari, S.Kom.,M.T.I.",https://repo.itera.ac.id/depan/submission/SB2208220002,"OKEBOS adalah perusahaan starup di lampung berbasis aplikasi mobile yang memiliki 8 layanan fitur utama yaitu antar barang, transportasi online, pemesanan jasa pijat, antar makanan/minuman serta menyediakan jasa servis yang bersedia untuk datang ke rumah pelanggan. Berdasarkan hasil Preliminary Research dan evaluasi awal yang diuji kepada 8 responden ditemukan permasalahan utama dari segi User Interface dan User Experience, permasalahan tersebut diantaranya konsistensi, tampilan UI serta beberapa permasalahan pada saat penggunaan aplikasi OKEBOS. Berdasarkan permasalahan tersebut peneliti ingin melakukan perancangan UI/UX pada aplikasi android OKEBOS dengan menggunakan metode Design Sprint yang terdiri dari 5 tahapan yaitu understand, deverge atau sketch, converge, prototype dan validate. Pada tahap-tahap ini akan dilakukan perbaikan beberapa fitur yang bermasalah dan dilakukan evaluasi perbandingan antara usability aplikasi OKEBOS dan usability redesign yang telah penulis buat, evaluasi yang dilakukan pada penelitian ini menggunakan metode evaluasi oleh Jacob Nielsen yang mengukur 5 aspek yaitu Learnability, Efficiency, Memorability, Errors dan Satisfaction dengan pengukuran SUS score untuk mengukur tingkat persepsi yang mehasilkan rata-rata meningkat dari 45.94 dengan kategori ‘Not Acceptable’, grade‘F’ dan peringkat adjective ‘Poor’ menjadi 81.56 dengan kategori ‘Acceptable’ grade ‘B’ dan peringkat adjective ‘Exellent’. Hasil penelitian ini yaitu prototype tampilan login, registrasi, beranda, bos kuliner, page pemesanan, fitur bos toko, bantuan dan isi saldo.",0
